🉁,三
𩇑,霩
𩇒,震
𩇓,雷靁
𩇕,靚
𩇗,𩇜天
𩇛,氰
𩇜,𩇗偵
𩇝,㵾𩇟
𩇞,天
𩇟,㵾𩇝
𩇟,㵾
𩇠,㔩
𩇥,䨼
𩇦,𩇨卯
𩇧,卯
𩇨,卯𩇦
𩇪,厞匪
𩇭,𡌦肥費𤆵𤊬𪸙
𩇯,䨽
𩇰,瑟
𩇱,師
𩇵,苦
𩇶,我
𩇸,靠
𩇹,棐
𩇺,䨿
𩇼,䪤
𩇾,䪤
𩇿,共
𩈃,耐
𩈄,𩈇忸
𩈅,皯
𩈇,𩈄忸
𩈉,𩈊𩈌
𩈊,𩈉
𩈌,𩈉
𩈍,靦
𩈑,赧𩈶
𩈔,𫖂
𩈖,𩈣
𩈙,頢
𩈚,𩈚
𩈚,𩈚
𩈝,𩈶
𩈟,皺
𩈢,𦓖
𩈣,䣻𩈖
𩈥,𩓀
𩈨,輔𩒺䩉
𩈩,𫖂
𩈫,赧𩈶
𩈱,䩊
𩈳,湎
𩈶,赧𩈑𩈝𩈫
𩈷,黤𩈿
𩈽,䆯
𩈾,䆯
𩈿,黤𩈷
𩉀,𤃨
𩉂,靨
𩉃,𩕖
𩉇,靨
𩉈,䩌
𩉉,帢
𩉊,靦
𩉋,慈
𩉌,䩋懡
𩉍,𬰣
𩉏,疑
𩉑,䩋
𩉓,靧
𩉕,馘
𩉖,靧𩔁沬
𩉗,𩉘
𩉘,𩉗
𩉙,𬰡㦬
𩉚,䩋懡
𩉛,𪟋
𩉜,鞿靰𩉳
𩉞,䩒
𩉟,䩐
𩉠,靫
𩉣,𩋠
𩉤,𩎔𩎦
𩉥,𨊼鞙𨌉
𩉦,鞃
𩉧,𩊩
𩉨,鼓𩉲
𩉩,𩉲鼓
𩉪,䩸
𩉫,䩛𩊰
𩉬,軝䩓
𩉱,鞮
𩉲,𩉩鼓𩉨
𩉳,𩉜
𩉴,軛
𩉶,低
𩉷,靿
𩉹,𩋪𩍦
𩉺,𩉻
𩉻,𩉺
𩉼,紳
𩉽,笰
𩊁,𩎝𩎺
𩊄,冑
𩊅,𩋶
𩊈,靾
𩊉,鼓
𩊊,𩊤瞂
𩊋,鞄
𩊍,𧖴
𩊐,䩸
𩊒,靾𨋯
𩊓,絝銙褲
𩊔,鮫𩎦
𩊕,䩕
𩊗,𩍅
𩊘,𩋠
𩊙,絥
𩊛,觤
𩊜,䩔𩎫
𩊝,𩊞
𩊞,𩊝
𩊟,鞅
𩊤,𩊊
𩊥,皺
𩊦,狩
𩊧,鞅
𩊩,䩼𩉧
𩊬,𩍿
𩊮,䩖
𩊰,𩉫
𩊲,鼗鞉鞀
𩊳,鞏
𩊷,鞎
𩊸,鞠
𩊹,韜
𩊼,𩋈
𩊿,舄舃
𩋀,屣𩌦
𩋂,韛
𩋃,𠤸
𩋄,𩌄
𩋅,撻
𩋆,慳
𩋇,珌
𩋈,𩊼
𩋉,緎𪑝
𩋊,𨌧
𩋋,韉韀
𩋎,倔𩍞
𩋐,𩌰
𩋑,鞢
𩋓,皺𩌄
𩋔,鞋
𩋖,靴
𩋘,鞋
𩋛,靾
𩋝,𩍀
𩋟,箙𩋨䪙
𩋠,𩉣𩊘
𩋡,室
𩋢,楦𩋫韗
𩋥,䪗𩏇
𩋦,𩏇
𩋧,鞋
𩋨,𩋟
𩋩,𦥐
𩋪,𩉹
𩋫,𩋢
𩋬,鍚
𩋭,鞔
𩋮,幫鞤
𩋰,𬰤紂
𩋱,軒
𩋲,鞄
𩋶,𩊅
𩋸,鞭鞕
𩋻,鞟
𩋼,䪁
𩋽,䩹
𩋾,靴
𩌀,鼓
𩌃,鞼
𩌄,𩋄皺𩋓
𩌅,䩳
𩌇,䪚𪔕
𩌉,撻
𩌊,𩌥𩏜𩍤
𩌋,𩍓𩏔
𩌍,䩡
𩌎,鞴
𩌏,𨍭䪙
𩌐,鞳
𩌑,䩩
𩌒,鞹
𩌔,鞳
𩌘,撻
𩌚,鞽橇
𩌛,鞞
𩌜,絛
𩌞,鞟
𩌟,鞁
𩌡,鞽屩
𩌣,䪁
𩌤,䩞
𩌥,𩌊
𩌦,屣𩋀𩌳𩎉
𩌨,㹐
𩌩,𩏘
𩌫,籙簶
𩌬,障
𩌭,𩍪
𩌮,𩍽𩎇韉
𩌰,縿𩋐𩍑䪌䩔
𩌱,䩳
𩌲,𩍳
𩌳,屣𩌦
𩌶,覲
𩌸,覲
𩌹,韅
𩌺,韅
𩌻,鞭
𩌼,鞟
𩌽,𡖁鞠
𩌿,鼗鞉鞀
𩍀,𩋝
𩍁,絥𫖉鞴
𩍂,鞄
𩍄,𩍥羺𦏌
𩍅,𩊗
𩍆,舄舃
𩍇,靴鞾
𩍊,𩍋
𩍋,𩍊
𩍍,靴
𩍐,鐙
𩍑,𩌰
𩍓,𩌋𩏔𩏨
𩍔,鞠麴𥶶
𩍕,靼
𩍖,繶
𩍘,鞴
𩍙,轖𩏫
𩍚,繸
𩍛,鞨
𩍞,𩋎倔
𩍟,靷
𩍠,韃
𩍡,鐶
𩍤,𩌊
𩍥,𩍄
𩍦,𩍲𩉹
𩍨,鞼
𩍩,䪁
𩍪,𩌭
𩍫,靷
𩍭,靷
𩍮,䩸䩰
𩍯,𩫠
𩍱,靷
𩍲,𩍦
𩍳,𩌲
𩍴,𩎑𩎈
𩍶,鑣
𩍸,鞠
𩍹,韗䩵
𩍺,䪎
𩍽,𩌮
𩍾,鞼
𩍿,𨏫䪇𩏯𩏵䪙𩊬
𩎀,鞬
𩎁,靴鞾
𩎄,氈
𩎅,鞬
𩎇,𩌮韉
𩎈,𩎑𩍴
𩎉,躧蹝𩌦
𩎋,靷
𩎌,韅
𩎍,韅
𩎎,革䪂
𩎏,鞟鞹
𩎑,䡽𩍴𩎈
𩎒,𬰱靬
𩎓,絥韍
𩎔,𩉤𩎦
𩎕,靸
𩎖,𫖑靲
𩎘,鞄
𩎛,紼韍𩎡
𩎜,坯
𩎝,𩊁𩎺
𩎟,𣝖靺韤
𩎠,𬰴紨
𩎡,𩎛韍
𩎢,𩏾弢
𩎣,鼗
𩎤,鞎
𩎦,𩎔櫜𩊔𩉤
𩎧,絥
𩎨,韗𩏅
𩎩,𩎴𩎯
𩎪,茵因鞇
𩎫,𩊜
𩎬,鞴韝
𩎮,違𩏉
𩎯,𩏏𩎩
𩎰,韢
𩎱,韐𢂷
𩎲,舝
𩎴,𩎩𩏏
𩎶,𩏇
𩎸,韏
𩎹,緎𩏟
𩎺,𩊁𩎝
𩎻,韛鞴
𩎼,䪑
𩎽,㧺𩏒
𩏁,韘
𩏂,𫖓鞞韠
𩏃,韛鞴
𩏄,韛
𩏅,韗𩎨
𩏆,韗
𩏇,緞𩋦䪗縀𩋥𩎶
𩏈,㼱
𩏉,𩎮𠆎
𩏊,䩯
𩏋,韜鞱
𩏌,𬰵鞨
𩏍,韜
𩏎,韝
𩏏,𩎯𩎴
𩏐,鞼𩏡𩳷
𩏑,韓
𩏒,𩎽
𩏓,轄
𩏔,𩍓𩌋
𩏕,韛鞴
𩏘,𩌩
𩏙,𣝞
𩏚,韢𩏲
𩏜,𩌊
𩏟,𩎹
𩏠,𫖖
𩏡,鞼𩏐
𩏢,𩏶𥾀𩏷𩏸揫
𩏤,韟櫜
𩏦,韛
𩏧,韡
𩏨,𩍓
𩏪,𩏽
𩏫,轖𩍙
𩏬,韡
𩏮,䪔䪙𩏵
𩏯,𩍿
𩏰,韅
𩏱,鞼
𩏲,韢𩏚
𩏴,𬰸鬱𩰪
𩏵,𩍿䪔𩏮
𩏶,𩏷揫𥾀𩏢𩏸
𩏷,𫃗𩏶揫𩏢
𩏸,𩏶𩏢
𩏻,鷇
𩏼,䪏
𩏽,𩏪
𩏾,𩎢
𩏿,䪘
𩐀,䪗
𩐁,薤
𩐂,韰
𩐄,季䨿
𩐅,㪪
𩐇,齏𩐋
𩐈,齏
𩐉,薤
𩐊,齏䪣
𩐊,齏
𩐋,齏𩐇
𩐌,𢌐𨽮𩐕
𩐍,自
𩐎,齏
𩐏,䪤
𩐐,齏
𩐑,齏
𩐒,齏
𩐓,䪡齏
𩐔,好
𩐕,𩐌
𩐖,季
𩐛,𤭵韸
𩐜,䪧
𩐟,𥭖
𩐠,哅㕼
𩐢,響
𩐧,韽
𩐨,𪔔
𩐬,贛
𩐭,𩖲諗
𩐯,𩐲
𩐲,𩐯
𩐵,𩐹
𩐶,讋
𩐹,𩐵
𩐺,䪫
𩐿,響
𩑃,𬰺𩑄
𩑄,𩑃
𩑅,贛
𩑇,𠮒
𩑊,𩇄
𩑋,頁
𩑌,𩑣
𩑍,𩕀
𩑑,𩑗
𩑔,𫖪𩑨𩑡
𩑖,頄
𩑗,𩑑
𩑙,頊頲
𩑚,頛
𩑛,髮
𩑜,頏䪴
𩑞,𩑫髯䫇
𩑠,頙
𩑡,𩑔䫀
𩑢,䪹䫊
𩑣,𬱔𡯺𤴨疣𩑌𩑲
𩑤,𩒾
𩑥,殟𩔉䫒
𩑦,𬱕没𩓔
𩑨,𩑔
𩑩,頪
𩑪,頣頤
𩑫,𩑞
𩑬,𩒙規
𩑭,傾
𩑰,䪶𩒢
𩑱,髮頍
𩑲,𩑣𩑶
𩑶,胡𩑲
𩑺,髯𩓾
𩑼,頗
𩑽,髭頾
𩑿,𩒋𩔈
𩒀,𩒈䪾
𩒁,頦䪱
𩒂,施
𩒆,頂
𩒈,𩒀䪾
𩒉,䪾
𩒋,𩑿𩔈
𩒌,頮沬
𩒍,頸
𩒎,𫖭
𩒑,眶
𩒒,顧頋
𩒕,𩔈顎
𩒖,𩒖
𩒖,𩒖
𩒗,姛𡜝
𩒙,𩑬頫規
𩒛,戚
𩒜,𬱡躱躲
𩒝,𬱝䫀
𩒞,頲
𩒢,䪶𩑰
𩒣,𩔟𩕅
𩒤,頸
𩒦,囟䪿
𩒧,𢄼
𩒪,𩒯
𩒫,頤𣢮
𩒬,䫄
𩒭,嬃
𩒮,俅
𩒯,𩓒𩒪𩔟𩕅顩
𩒰,俄
𩒱,𩓽
𩒲,𬱤頢
𩒳,沬
𩒴,𩓊
𩒵,頃
𩒶,頯
𩒷,軵
𩒸,㾛
𩒹,髯䫇
𩒺,輔𩈨䩉
𩒼,𬱥
𩒾,𩑤䫓
𩓀,𩈥
𩓁,贅䫨
𩓃,賴
𩓄,䫠
𩓅,谾
𩓆,𩓥
𩓊,𩒴
𩓋,顂
𩓏,頃
𩓐,脖
𩓑,䫁
𩓒,𩒯
𩓓,䫀
𩓔,𩑦
𩓕,頛
𩓘,額
𩓞,淨
𩓠,規𩓡𩓸𩔩
𩓡,𩓠𩓸
𩓣,𩖕須䇓
𩓥,𫖵𩓆
𩓩,𢄦𢄓
𩓫,觠
𩓭,䫠
𩓯,頻頻
𩓰,頯
𩓱,頷
𩓸,𬱧𩓠𩓡
𩓹,𬱨
𩓺,熲
𩓽,𩒱
𩓾,𩓿髯𩑺
𩓿,𩓾髯
𩔀,顡
𩔁,輔頮䩈𩉖沬
𩔅,䫌𩔙
𩔇,𩕍䫧
𩔈,𬱭奤𩑿𩒕𩒋
𩔉,殙䪸䫒𩑥
𩔊,𬱛願
𩔌,䫠
𩔏,𫖢
𩔑,𫖷
𩔒,顡
𩔓,顄
𩔔,顒
𩔖,類
𩔗,䫫類
𩔙,囟䫌𩔅
𩔚,勜翁
𩔛,𩔣
𩔜,頌
𩔞,顄
𩔟,𩒣𩒯
𩔣,𩔛
𩔤,頻頻
𩔥,頃
𩔧,類
𩔨,囟
𩔩,𩓠
𩔯,頰
𩔰,顯
𩔳,𫖴
𩔴,𩪉
𩔶,㦄𩔷
𩔷,𩔶
𩔹,𩔾𩭧
𩔺,顱
𩔻,𢒷䯽
𩔽,𩕲
𩔾,𩔹𩭧𨲋
𩕀,贅䫨𩑍𩕣
𩕁,脣
𩕂,憂
𩕃,顯
𩕄,囟
𩕅,𩒣𩒯
𩕈,𨆜蹯
𩕉,𥫎
𩕊,𬱱𩕸
𩕋,𩕳
𩕍,䫧𩔇
𩕎,𨇐履
𩕏,皤
𩕐,顟
𩕑,顡
𩕒,䫶
𩕓,預
𩕔,䫰𩕶𩕼
𩕖,𡈣𩉃
𩕗,䫬
𩕘,瀕頻頻
𩕝,顔顏
𩕞,䫩
𩕟,𩪛𩪤
𩕢,頂𩕩
𩕣,贅𩕀䫨
𩕦,顎𩖀
𩕧,顨
𩕨,瀕
𩕩,頂𩕢
𩕫,懜儚
𩕬,頞齃
𩕭,䫦
𩕮,願
𩕰,𬱲䫵
𩕲,𣄩𩔽䫯𣄫
𩕳,𩕋
𩕴,顲
𩕶,䫰𩕔
𩕸,𩕊
𩕺,顡
𩕻,䪸
𩕼,䫰𩕔
𩕽,顮
𩕾,𩖂𩖈願
𩕿,顩
𩖀,顎𩕦
𩖁,𬺂齧
𩖂,𩕾
𩖄,𩖆
𩖆,顩𩖄
𩖇,𥉾
𩖈,𩕾
𩖉,𩖎𠐿
𩖊,㾉
𩖋,顲
𩖍,癭
𩖎,𩖉𠐿
𩖏,贔
𩖐,首
𩖓,顰
𩖕,𩓣
𩖖,顃
𩖗,䫴
𩖘,戴
𩖙,䫸
𩖚,飆
𩖛,𩖜
𩖜,𩖛
𩖡,飆
𩖢,䫺𩙛
𩖣,𩖰颰𩖮
𩖧,飆
𩖨,䬍
𩖬,颫
𩖮,颰𩖣
𩖰,𫠇𩖣
𩖲,𩐭
𩖳,夏
𩖴,飅䬟飀
𩖶,䫼𩖶
𩖶,𩖶
𩖷,𠘼
𩖸,呺
𩖹,𩗑𩖾
𩖻,𩗢
𩖼,颰
𩖽,颰
𩖾,𩖹
𩖿,𬱺
𩗀,𩙦
𩗁,颯
𩗂,𫖼
𩗅,䬅𩘡
𩗆,颼䬒
𩗇,𩘋
𩗈,飆
𩗉,𩗞
𩗋,帆
𩗌,䬟
𩗑,𩖹
𩗓,𫗈
𩗖,𩘁𩗬
𩗗,飓颶
𩗘,𩘂
𩗛,䬍
𩗝,虺
𩗞,𩗉
𩗟,颴𩘶
𩗠,飅飀
𩗡,䬞
𩗢,𩖻
𩗦,颲
𩗨,魑䬜
𩗩,䬟𩙔
𩗫,𩘙
𩗬,𩘁𩗖
𩗮,颸
𩗯,䬐
𩗲,箏
𩗳,𩙜
𩗴,𫗉
𩗷,奄
𩗸,䬌
𩗿,雨
𩘀,𩙩
𩘁,𩗖𩗬
𩘂,𩗘
𩘃,颲
𩘅,𩘗
𩘆,䫾
𩘇,𩙓𩙛
𩘈,䬀
𩘉,魑䬜
𩘋,𩗇
𩘌,颼䬒
𩘍,䬇
𩘎,䫹
𩘐,䬍
𩘑,𩘕
𩘕,𩘑
𩘖,𩙚
𩘗,𩘅
𩘙,𩗫
𩘚,𬰲颹
𩘛,颲
𩘝,𩙭
𩘞,飄
𩘟,䬆
𩘠,䬒
𩘡,䬅𩗅
𩘤,䬑
𩘥,颽
𩘦,颼
𩘨,𩘪
𩘩,𩘬𫗁
𩘪,𩘨
𩘬,𩘩𫗂
𩘰,𩘹
𩘲,䬘
𩘳,䬑
𩘶,颴𩗟
𩘷,飂
𩘸,飂
𩘹,𩙨𩘰
𩘺,𩙬穨
𩘻,𬲆𩙅
𩘼,𩙄颾
𩘽,𩙆
𩘾,儺灘
𩘿,䬞
𩙁,䬝
𩙂,飉
𩙃,颹
𩙄,𩘼䬟
𩙅,𩘻
𩙆,𩘽
𩙈,𩙰颾
𩙊,䬑
𩙋,𩙌𩙍
𩙌,𩙋
𩙍,𩙋𫗃
𩙎,儺
𩙒,飃飄
𩙓,𩘇𩙛
𩙔,䬟𩗩
𩙗,䬟
𩙚,䬒𩘖
𩙛,𩘇𩙓𩖢
𩙜,𩗳
𩙞,飄
𩙢,旋
𩙤,䬍
𩙥,颰
𩙦,𩗀
𩙧,䬞
𩙨,𩘹
𩙩,𩘀
𩙪,颷
𩙫,颾
𩙬,𩘺
𩙭,𩘝
𩙮,䬘
𩙯,䬝
𩙰,𩙈
𩙱,飛
𩙴,𩙶翰
𩙶,翰𩙴
𩙺,翼
𩙼,𦒜
𩙽,翾䴉
𩙿,飠食
𩚀,食
𩚁,食
𩚂,饐
𩚃,食
𩚅,𬲥飼飤
𩚆,䬣
𩚈,哟約肑鄀
𩚊,飩
𩚋,䬣
𩚌,飢
𩚍,飾𫩒
𩚎,飢
𩚏,飧
𩚐,飢
𩚑,飢
𩚒,𩚖
𩚓,饕
𩚕,飲飮飪
𩚖,𩚒𩜷粈
𩚘,䬲
𩚙,麨𪍑
𩚚,𬲩𩚬飢
𩚛,𩟿
𩚜,㱃飲
𩚝,餮
𩚞,䬫
𩚡,豉
𩚢,䬫
𩚣,甜餂𩚵
𩚤,餼𩛹𩜐
𩚥,𩠀粑
𩚨,䬫
𩚩,𫗡餬
𩚪,餌
𩚬,𩚚𩜄飢𩛪
𩚮,惄飢饑
𩚯,𩛐
𩚰,饙𩞑
𩚱,𩛯
𩚲,餄𩛩
𩚳,飯飯
𩚴,𩜌𧯡
𩚵,𩠁𩚣䤀
𩚶,祝祝
𩚷,粒
𩚸,餮飻
𩚹,𥹕
𩚺,餮飻
𩚽,飪
𩚿,飫
𩛀,䬫
𩛁,飽
𩛆,𩠂
𩛈,飱飧
𩛉,饎
𩛊,飽𩛒𩝩
𩛌,𫗤䭄
𩛍,䭔
𩛎,𬲴𩜠
𩛐,𩚯
𩛒,𩛕飽𩛊
𩛓,䭀𨑏
𩛕,𩛒
𩛘,供
𩛙,飭
𩛚,齋
𩛛,飴饔
𩛜,𩟡
𩛝,酹
𩛞,𬲺飽
𩛟,𩝸
𩛡,𫗨饢
𩛢,𩜔𩝧𩝶
𩛣,餌
𩛤,𩜳
𩛧,餰飦䭈
𩛨,𣨆
𩛩,𩠃𩚲餄
𩛪,𩚬
𩛫,餱
𩛬,養
𩛭,育
𩛮,飴
𩛯,𩚱
𩛲,𬲹
𩛳,餐
𩛴,飽呆碍餀
𩛹,餼𩚤
𩛻,纘饡饘
𩛽,饀𪌼
𩛾,餯
𩛿,餳
𩜀,䭔
𩜁,䮚
𩜂,饎
𩜄,𩚬
𩜅,飵
𩜆,飢饑
𩜇,𩠉卷
𩜈,飫
𩜉,䬷
𩜋,餉
𩜌,𧯡𩚴
𩜍,𢘐
𩜎,𦙫
𩜏,𬲨飫
𩜐,䬣𩚤
𩜓,飾餝
𩜔,𩛢
𩜕,飽
𩜗,糒
𩜙,饒
𩜠,𬲿𩛎
𩜡,䬫
𩜢,飫
𩜤,餑
𩜥,餑
𩜦,𩠆
𩜧,尾
𩜭,𪍎
𩜮,饎𩝮
𩜯,𩝯餿
𩜰,𬳃
𩜱,糝
𩜳,𩛤
𩜴,餈
𩜵,𩠊團
𩜷,𩚖
𩜹,饌
𩜺,噎䭇
𩜻,饕
𩜾,餰
𩜿,飽
𩝀,饙
𩝁,饌
𩝂,饙餴
𩝉,饁
𩝍,餱
𩝎,饞
𩝏,糕
𩝐,糍
𩝑,𬳇
𩝒,飽
𩝓,𩝩飽
𩝔,𩠋糈
𩝘,餕
𩝙,嗜
𩝜,𩝸
𩝝,犒糕
𩝠,𬳌糗
𩝡,𬳈䭤
𩝣,𬳉
𩝤,䬼
𩝥,素
𩝦,齋
𩝧,𩛢
𩝩,𩝓飽𩛊
𩝫,𩞟漿𩝴
𩝬,饛
𩝮,𩟄饎𩜮
𩝯,𩜯
𩝰,飽
𩝳,糒
𩝴,漿𩝫
𩝵,饕
𩝶,𩛢
𩝸,𩛟𩝜
𩝹,饔𩟀
𩝼,饙𩞑
𩝾,餉饟
𩞀,糝𩞼
𩞁,糜饃䭩𩞇饝
𩞂,𧈐饕
𩞃,𬲰餉𩞧
𩞄,𩠎
𩞆,𬲪𩞐
𩞇,糜𩞁
𩞉,𬳐
𩞌,餗𩱫
𩞍,餗𩱫
𩞎,饉
𩞏,䭕
𩞐,𩞆
𩞑,𩚰𩝼饙
𩞒,𩞮
𩞖,饚
𩞘,𬳏
𩞚,饜
𩞛,飽
𩞜,䭢
𩞟,𩝫漿
𩞠,饔
𩞡,𬲬饎
𩞢,䭉
𩞣,饕
𩞥,餉饟
𩞦,𩠏饓
𩞧,𩞃
𩞩,餭
𩞪,𫗜餪
𩞫,飴
𩞬,𬳒
𩞭,䭐
𩞮,𩞒鯔𩻨
𩞯,䭪
𩞲,䭙
𩞳,饙
𩞴,饙
𩞵,餬
𩞷,餾
𩞸,餗
𩞹,饜
𩞺,臛𩟨
𩞼,𩞀糝
𩞽,餺
𩞾,𩟉
𩟀,𬳓饔𩝹
𩟁,䬼
𩟂,𬲸
𩟄,饎𩝮
𩟆,䭉
𩟉,𩞾
𩟋,贍
𩟌,饡
𩟐,𩠅
𩟓,嚄
𩟖,饞
𩟗,𫗚䭕
𩟘,蒸烝
𩟙,𩟦
𩟛,餺
𩟝,贐飯
𩟠,𬳔饃
𩟡,𩛜
𩟣,𩟤
𩟤,𩟣
𩟥,臇䬽
𩟦,𩟙
𩟧,鑠
𩟨,臛𩞺
𩟪,饡
𩟫,啜
𩟭,𪎁
𩟮,餲
𩟯,臛𦞦
𩟰,飥
𩟱,饋
𩟴,饊
𩟷,饔
𩟸,臛
𩟻,饢
𩟿,𩚛
𩠀,𩚥
𩠁,𩚵
𩠂,𩛆
𩠃,𩛩
𩠅,𩟐
𩠆,𩜦
𩠇,䭀
𩠈,䭃
𩠉,𩜇
𩠊,𩜵
𩠋,𩝔
𩠌,餸
𩠎,𩞄
𩠏,𩞦
𩠐,首
𩠑,頂
𩠒,馗
𩠕,髮𩠙
𩠖,髮
𩠗,頰
𩠙,髮𩠕
𩠛,頤𩠡
𩠜,稽䭫䭬
𩠝,𩠡
𩠞,𩠢
𩠠,𩠴
𩠡,𩠝頤𩠛𩠢
𩠢,𩠞頤𩠡
𩠣,頰
𩠤,黼䩉
𩠥,稽䭫
𩠦,稽䭫
𩠨,稽
𩠪,顔顏
𩠫,頓
𩠬,䭭首
𩠮,夔
𩠰,夔
𩠲,馘
𩠴,𩠠
𩠷,䭮
𩠹,剸
𩠻,馠
𩠼,香
𩠿,𩡅䭱
𩡀,䭱
𩡄,香䭱
𩡅,𩠿䭱
𩡈,䭱
𩡊,馥
𩡌,𩡐
𩡐,𩡌
𩡑,馥
𩡒,馞
𩡓,𦒥
𩡔,𦤦馤
𩡘,馥
𩡙,𩡟
𩡚,𩡤馤
𩡟,𩡙
𩡠,香𩡢
𩡡,䭱
𩡢,𩡠
𩡤,𩡚馤
𩡧,𩡪䭴𩦮馬
𩡪,𩡧䭴
𩡬,馬
𩡮,馬
𩡰,䭵駂𩡵
𩡱,𩡷䭻
𩡲,馹
𩡳,馽
𩡵,駂𩡰
𩡷,𩡱
𩡸,𩥐
𩡹,𩥀䭿
𩡺,𩧦奇踦𩤠
𩡻,騕
𩡼,駢騈
𩡽,壯𡉟
𩡾,𩣟𩣠
𩡿,駡罵
𩢄,翫𫘇
𩢆,騁
𩢇,駙
𩢈,駂
𩢉,驢馿
𩢌,馼
𩢍,𬳷騧
𩢏,馽
𩢐,馲
𩢑,𩢭
𩢓,馵
𩢘,駊
𩢚,䮂
𩢛,騔𩦞
𩢜,駗
𩢝,駢騈
𩢞,䭹駠
𩢟,駕
𩢠,駘
𩢡,𩧬𩣀
𩢧,驅䮃
𩢩,驅
𩢬,驢
𩢭,𩢑
𩢮,䮌
𩢯,𩣇𩣐𩥒
𩢲,𬳺駛
𩢳,𦐛豞𩣗𩧚
𩢴,𩧵佶
𩢵,馲
𩢷,㹮䮮𩥔
𩢸,𩧳
𩢹,𩣅齨
𩢺,駽
𩢼,𬳻
𩢾,𩧮䮋𩧃
𩢿,𩣜
𩣀,𩢡
𩣁,騁
𩣂,駪
𩣃,𩤘
𩣄,駁
𩣅,𩢹
𩣇,𩢯𩣈𩣐𩥒
𩣈,𩣐𩣇
𩣊,䮅
𩣋,𬳼
𩣌,驅䮃
𩣍,䭹
𩣎,駂
𩣏,𩧶
𩣐,𩣈𩢯𩥒𩣇
𩣑,䯃鞍
𩣒,騮
𩣓,馭
𩣔,𬳹
𩣕,驅
𩣗,𦐛豞𩢳
𩣘,䯀
𩣙,䮢
𩣚,駓
𩣛,駣
𩣜,𩢿𩣸
𩣝,步
𩣞,馺
𩣟,𩡾
𩣠,𩡾
𩣡,䮀
𩣢,驄
𩣣,騀
𩣤,馾
𩣦,𩣮
𩣨,騀
𩣫,驪
𩣬,駛
𩣭,驄
𩣮,𩣦
𩣰,𩤏
𩣵,涴
𩣷,𨙔䮔
𩣸,𩣜䧞
𩣹,𩤓
𩣺,𩧼𩦥奔
𩣽,驧𩧛
𩣾,駝
𩣿,騶
𩤀,驅駈
𩤉,驊
𩤊,𩧩
𩤌,𫘌
𩤍,騶
𩤏,𩣰
𩤐,騯
𩤑,騂
𩤓,𩣹
𩤖,䮘
𩤘,𩣃
𩤙,𩨆
𩤛,顒
𩤝,騖
𩤠,𩡺
𩤢,騠
𩤦,𩦂
𩤧,䮗
𩤨,駸
𩤪,䮢
𩤫,禂
𩤬,騙
𩤭,駥
𩤲,𩨉
𩤳,馭騈駢
𩤴,駹
𩤵,𬴄
𩤷,騮
𩤸,𩨅衛
𩤻,騱
𩤼,驗
𩤾,馭駢
𩤿,駸
𩥀,𩡹䮎
𩥂,鬐𩥞
𩥃,𩦺
𩥄,𩨋
𩥅,𩥓
𩥆,䮉
𩥇,𩨍驙𩧝
𩥉,𩧱驥
𩥊,驕
𩥋,騳
𩥍,騂
𩥎,騖
𩥏,驖
𩥐,𩡸
𩥑,𩨌
𩥒,𩢯𩣐𩣇
𩥓,𩥅
𩥔,𩢷
𩥕,騹騏
𩥖,騮
𩥗,䮔
𩥘,峳
𩥜,䮉
𩥞,𩥂
𩥟,騞
𩥡,騾
𩥢,騩
𩥤,驩
𩥦,騖
𩥧,騜
𩥨,䮔
𩥫,䮞
𩥭,魚䁩
𩥮,産產
𩥰,騑
𩥱,騰𩦜
𩥲,𬴇𩦙
𩥳,驖
𩥴,𩦀𩦄
𩥵,驂
𩥶,驌
𩥺,騮
𩥼,𬴈
𩥾,驗
𩦀,𩥴𩦅𩧋𩦄
𩦁,䮔
𩦂,瞯𩤦𩦃𩦔
𩦃,𩦂
𩦄,𩥴𩧋𩧠𩦀𩦅
𩦅,𩦀𩦄
𩦆,騬
𩦈,驃
𩦊,騫
𩦌,䮣
𩦍,䮵
𩦎,騑
𩦏,𩧆
𩦐,騞騸
𩦑,禂
𩦔,𩦴𩦂
𩦘,驩
𩦙,𩥲速
𩦚,𬴉
𩦛,䮔𨙔
𩦜,騰𩥱
𩦞,𩢛騔
𩦟,騤
𩦠,𫠌
𩦢,虞
𩦣,騧
𩦥,奔𩣺
𩦦,髒
𩦧,鬘
𩦨,鸄
𩦪,驤
𩦮,𩡧
𩦯,驛
𩦰,驊
𩦱,儈
𩦲,騣
𩦳,䮾
𩦴,𩦔
𩦵,麢
𩦶,𧈜
𩦷,驖
𩦸,驥
𩦺,𬴌𩥃
𩦻,騾驘
𩦼,駱
𩦽,駘
𩦾,驃
𩦿,驞
𩧀,驖
𩧁,驟
𩧂,䮥
𩧃,𩢾
𩧆,𩨐𩦏
𩧈,䮷
𩧋,𩧞黧𩦄𩦀
𩧎,驨
𩧏,䮤
𩧐,𬴎馲驝
𩧔,騰
𩧕,輷
𩧖,騰
𩧙,驃
𩧚,豞𩢳
𩧛,驧𩣽
𩧝,𩥇
𩧞,𩧠𩧋
𩧠,𩧞𩦄
𩧢,騁
𩧣,騾驘
𩧤,驔
𩧥,驢
𩧦,𩡺
𩧨,駎
𩧩,𩤊
𩧪,䮾
𩧫,駚
𩧬,𩢡
𩧭,䭿
𩧮,𩢾
𩧯,驋
𩧰,䮝
𩧱,𩥉
𩧲,駧
